question,answer,tags,priority,enabled
"What is Drifts AI? Demo 1","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 1.","company;overview",10,"true"
"How do I contact support? Demo 2","Email the support team or use the support form on the site. This demo row is entry 2.","support;contact",9,"true"
"How do I request a custom project? Demo 3","Use the inquiry form and provide your project brief. This demo row is entry 3.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 4","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 4.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 5","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 5.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 6","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 6.","company;overview",10,"true"
"How do I contact support? Demo 7","Email the support team or use the support form on the site. This demo row is entry 7.","support;contact",9,"true"
"How do I request a custom project? Demo 8","Use the inquiry form and provide your project brief. This demo row is entry 8.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 9","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 9.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 10","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 10.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 11","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 11.","company;overview",10,"true"
"How do I contact support? Demo 12","Email the support team or use the support form on the site. This demo row is entry 12.","support;contact",9,"true"
"How do I request a custom project? Demo 13","Use the inquiry form and provide your project brief. This demo row is entry 13.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 14","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 14.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 15","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 15.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 16","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 16.","company;overview",10,"true"
"How do I contact support? Demo 17","Email the support team or use the support form on the site. This demo row is entry 17.","support;contact",9,"true"
"How do I request a custom project? Demo 18","Use the inquiry form and provide your project brief. This demo row is entry 18.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 19","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 19.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 20","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 20.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 21","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 21.","company;overview",10,"true"
"How do I contact support? Demo 22","Email the support team or use the support form on the site. This demo row is entry 22.","support;contact",9,"true"
"How do I request a custom project? Demo 23","Use the inquiry form and provide your project brief. This demo row is entry 23.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 24","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 24.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 25","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 25.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 26","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 26.","company;overview",10,"true"
"How do I contact support? Demo 27","Email the support team or use the support form on the site. This demo row is entry 27.","support;contact",9,"true"
"How do I request a custom project? Demo 28","Use the inquiry form and provide your project brief. This demo row is entry 28.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 29","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 29.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 30","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 30.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 31","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 31.","company;overview",10,"true"
"How do I contact support? Demo 32","Email the support team or use the support form on the site. This demo row is entry 32.","support;contact",9,"true"
"How do I request a custom project? Demo 33","Use the inquiry form and provide your project brief. This demo row is entry 33.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 34","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 34.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 35","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 35.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 36","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 36.","company;overview",10,"true"
